Date,Value
1979-01-01,103
1980-01-01,68
1986-01-01,87
1987-01-01,62
1988-01-01,61
1989-01-01,64
1990-01-01,41
1991-01-01,105
1992-01-01,81
1993-01-01,49
1994-01-01,56
1995-01-01,36
1996-01-01,90
1997-01-01,41
1998-01-01,73
1999-01-01,92
2000-01-01,371
2001-01-01,80
2002-01-01,64
2003-01-01,70
2004-01-01,84
2005-01-01,66
2006-01-01,67
2007-01-01,80
2008-01-01,113
2009-01-01,97
2010-01-01,50
2011-01-01,118
2012-01-01,86
2013-01-01,115
2014-01-01,112
2015-01-01,30
2016-01-01,16
2017-01-01,41
2018-01-01,20
2019-01-01,57
2020-01-01,49
2021-01-01,76
